Predicted   Anger  Boredom  Empty  Enthusiasm  Fun  Happiness  Hate  Love  \
Actual                                                                      
Anger           0        0      0           0    0          0     0     0   
Boredom         0        0      0           0    0          0     0     0   
Empty           0        0      5           0    0          0     0     0   
Enthusiasm      0        0      0           1    0          0     0     0   
Fun             0        0      0           0    5          0     1     0   
Happiness       0        0      0           0    0         12     0     0   
Hate            0        0      0           0    0          0    31     0   
Love            0        0      0           0    0          0     0    13   
Neutral         0        0      0           0    0          0     0     0   
Relief          0        0      0           0    0          0     0     0   
Sadness         0        0      0           0    0          0     0     0   
Surprise        0        0      0           0    0          0     0     0   
Worry           0        0      0           0    0          0     0     0   
__all__         0        0      5           1    5         12    32    13   

Predicted   Neutral  Relief  Sadness  Surprise  Worry  __all__  
Actual                                                          
Anger             0       0        0         0      2        2  
Boredom           1       0        2         0      3        6  
Empty             5       0        2         0      6       18  
Enthusiasm        4       0        2         0      7       14  
Fun               3       0        3         0      3       15  
Happiness         4       0        4         0      8       28  
Hate              5       0       10         0      7       53  
Love              2       0        7         0      6       28  
Neutral         168       0       21         0     31      220  
Relief            2       2        3         0      4       11  
Sadness           7       0      220         0     19      246  
Surprise          8       0        7        16     17       48  
Worry            12       0       20         0    255      287  
__all__         221       2      301        16    368      976  
