2.64E+17,Just played one of my better rounds with the Pops and of course he had to show me some of his @ Sherwood CC 
2.63E+17,@BurtJenner  classic video
2.62E+17,Got him on the program.. He is starting to look yoked up hah 
2.62E+17,Snoop and Pac just Chillin at the beach... Classic photo 
2.62E+17,#GoProeveningshorepound 
2.60E+17,Get up little chunky butt... Time for some exercise #lovethislittleguy 
2.59E+17,Great day of golf today with @anthonymarcotti and @toddy_bow  
2.59E+17,Took my boat into the 2nd largest sea cave in the world yesterday.. (Same one they used   @ Channel Islands  
2.58E+17,Headed Back out.. Nothing like traveling at night on the open ocean 
2.58E+17,Lobster anyone? #7pounder  
2.58E+17,Not a bad day to be on the water...   @ Off Palos Verdes  
2.58E+17,Headed out to sea with @anthonymarcotti... My place of happiness  
2.58E+17, 
2.57E+17,You got treats? 
2.57E+17,Just found a bubble machine with @lindathompsonlt ... He still won't get up!!! 
2.57E+17,Mattia Biagi... The man... 1/1 no other one like it 
2.57E+17,Sad day but excited to move on.. Hey @tackelberry !!! Just because the couch is the last thing to go doesn't 
2.57E+17,Hanging with the boys on the last night of an era.. On to the next... See ya Hollywood.. Coming back home to 
2.57E+17,"I told my mom ""this is my best smile""??? I looks a little forced.. #TBT "
2.56E+17,#cleaneating  
2.56E+17,That can't be comfortable... #mastiffpuppy 
2.56E+17,Tonight's sunset #nofilter   @ Malibu 
2.56E+17,Hugs from my little chunk 
2.56E+17,@GABRIELPANDURO miss you my man... Hope all is well with you
2.56E+17,Favorite place in the world   @ Malibu 
2.55E+17,Baby legs  
2.55E+17,At least it was a good game... Congrats on the win
2.55E+17,Loving my team... GO BOLTS
2.54E+17,@tallywood round 2 with @frankie_valli and @jessemccartney #getem we love you Tal 
2.54E+17,I have said it once and now I am going to say it again...... @kellyslater FOR PRESIDENT!!!!
2.54E+17,Great times @nickmon81 ... Hey next time.. Stay awake barny  
2.54E+17,FORE!!!!!! 
2.53E+17,Who's down to get Kinky tonight? Haha 
2.52E+17,Looking forward to a great night at  @poolafterdark with @robkardashian #howidoac thanks fo  @ Atlantic City 
2.52E+17,Hey @virginamerica .. Excited to watch football tomorrow on my flight!! Richard Branson is THE MAN
2.52E+17,Just flew through some of the craziest turbulence of my life... Couldn't even enjoy my Ryd  @ In Turbulence  
2.52E+17,Loving Virgin America   @ high as f#ck 
2.52E+17,Hahaha sorry its the 29th!! That I'm at  @poolafterdark with @robkardashian #howidoac
2.52E+17,This weekend on 9.28 (Saturday/tonight) I'm at  @poolafterdark with my little brother @robkardashian come out and rage with us #howidoac
2.51E+17,Bedtime... #boatlife #freedom  @ Northern California 
